encode=UTF-8
name=T9筆劃
key=uiojkp
len=5
auto_clear=0
normal=normal_big5.txt
user=cj_user.txt
assist=` mb/mb/phonetic_pin.txt
jkijuikiiuikuuu 禫
ikuuiuuikjj 嗎
uoikuikouio 碅
ikuuuikuioju 睏
jjujkuikuuu 渾
uiujukkjjuoju 摔
oouk 卮
ikuoijuuuiujj 噍
ijojkikuouu 掌
ouiojiiu 梨
uoiuuiojkojikuiuo 蹙
oikuuukjjjjkj 鵔
uuiujuikuikuuuiiu 瓖
uiojkuuuui 楗
ojuiojok 殺
ikuiuiuikio 蹦
uiojuiojooo 彬
jkiojokkuk 袍
oijkjj 伈
uuu 三
uuu 春
uuu 奏
uuu 慧
uuu 耕
uuu 奉
uuu 邦
uuu 泰
uuu 耗
uuu 契
uuu 耘
uuu 蠢
uuu 秦
uuu 匡
uuu 彗
uuu 挈
uuu 耙
uuu 絜
uuu 丰
uuu 耒
uuu 劻
uuu 貳
uuu 舂
uuu 惷
uuu 憃
uuu 觢
uuu 栔
uuu 蛪
uuu 齧
uuu 洯
uuu 恝
uuu 砉
uuu 耩
uuu 頛
uuu 耜
uuu 耪
uuu 耨
uuu 耛
uuu 耞
uuu 耦
uuu 耖
uuu 耰
uuu 耤
uuu 耟
uuu 耔
uuu 耬
uuu 耡
uuu 耠
okikuiujjjjjujouk 鯜
kkkikojukj 邋
oujoujojuuijouou 籦
uiuuikjjjjkjukjuoikuu 騽
koikjuoikuuuo 頗
jjkojkiokjuouuiu 窿
uiiooiuu 荇
uiuoiojui 赫
uiuoiojui 赭
juojuuojjoiku 療
uiioikuuokj 菂
juuuikuuiuoikuu 諸
ojuikuuiiok 歈
jjuuikuikoujikiiu 濫
jjuuikuikoujikiiu 灠
ikiojjkjuoikuuu 嶺
ikuuokikujj 煦
jkijuiukuiuuik 禱
joikiojouojk 彆
joikiojouojk 嫳
ooiuii 德
ooiuii 衚
ooiuii 衖
kouuiiouiku 嬞
kukikuikuiujjuu 謽
uoikuouui 硃
jkiojuiuuiuij 褂
okikuiujjjjojjoouu 鰩
ikuuikuuuio 閉
ikuuikuuuio 閑
ikuuikuuuio 鷴
ikjouiuujjjjkiiki 黜
ouiojkojk 透
kkjjjjikuiiuuo 繷
uiukkkikuu 摷
kkjjjjikioi 繀
kkjjjjikioi 纗
oijuikuikuuui 儴
jjukukku 潠
oiukuuokjjj 舄
ikiuikuj 凱
ikiuikuj 豈
ikiuikuj 顗
ikiuikuj 覬
ikiuikuj 敳
ikiuikuj 颽
ikiuikuj 獃
ikiuikuj 剴
joojuikuik 熞
joojuikuik 爦
joojuikuik 爁
joojuikuik 焐
joojuikuik 熰
uiojkuiku 柌
jkijouiuo 禶
joojikuikui 燥
joojikuikui 燀
joojikuikui 煰
jjkuuiuouuikiikuuuo 寶
okikuiujjjjkjukjuoikuu 鰼
jukokuuuui 望
oujoujuiuikuuijui 簙
iuokjkjiuuui 韰
ikiokukikuu 崏
uiikikojujj 蒸
kkjjjjikuuiiuu 緝
ikujjku 喧
ikujjku 啶
ikujjku 嗐
uiiikiiukji 藣
ikjouiuujjjjokj 黟
jujouuuiuiku 靖
jjuuiuikuiuuiiuojkoj 瀻
oiukoko 偕
okikuukok 毚
okikuukok 劖
okikuukok 酁
ikuuikuuikui 闆
ikuuikuuikui 闡
ikuuikuuikui 閩
ikuuikuuikui 闠
ikuuikuuikui 閭
ikuuikuuikui 閫
